Item/SKU	Handle	Color	Material	Finish	Width	Depth	Height
U1706-AGNES ESPRESSO-PRS W/ DDT & PHR	giuliana-power-reclining-sofa-with-power-adjusting-headrest	Agness Espresso	FABRIC / WOOD / METAL	n/a	88	39	40
U9460-BLANCHE WHITE-CH	gladys-chair	BLANCHE WHITE	n/a	n/a	44	33	36
U9460-BLANCHE WHITE-LS 	gladys-loveseat	BLANCHE WHITE	n/a	n/a	67	33	36
U9460-BLANCHE WHITE-S	gladys-sofa	BLANCHE WHITE	n/a	n/a	84.5	33	36
U12016-AGNES COFFEE-PR	glenda-power-reclining-chair	BROWN	n/a	n/a	43	35	44
U12016-AGNES COFFEE-PCRLS	glenda-power-reclining-loveseat-with-cupholder-console	BROWN	n/a	n/a	78	35	44
U12016-AGNES COFFEE-PRS	glenda-power-reclining-sofa	BROWN	n/a	n/a	89	35	44
U8210 - PLUTO WHITE - CHAIR(M)	gloria-chair	PLUTO WHITE	PU/Foam/Wood Frame/"S" Spring/Spring Bag/Metal Legs - COMPLIANT FOR CALIFORNIA 83120 PHASE 2 & TSCA & FORMALDAHYDE	n/a	44	36	37
U8210 - PLUTO WHITE - LOVESEAT(M)	gloria-loveseat	PLUTO WHITE	PU/Foam/Wood Frame/"S" Spring/Spring Bag/Metal Legs	n/a	68	36	37
U8210 - PLUTO WHITE - SOFA(M)	gloria-sofa	PLUTO WHITE	PU/Foam/Wood Frame/"S" Spring/Spring Bag/Metal Legs	n/a	85	36	37
U0070-GR	grace-reclining-chair	SULTRY DARK BROWN/SULTRY PECAN	FABRIC / WOOD / METAL	n/a	38	30	41
U0070-CRLS	grace-reclining-loveseat-with-cupholder-console	SULTRY DARK BROWN/SULTRY PECAN	FABRIC / WOOD / METAL	n/a	73	30	41
U0070-RS	grace-reclining-sofa	SULTRY DARK BROWN/SULTRY PECAN	FABRIC / WOOD / METAL	n/a	82	30	41
U8311-BLANCHE BLACK-PR	gracie-power-reclining-chair	BLACK W/RHINESTONE DETAILS	Leather Match/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	43	34	40
U8311-BLANCHE WHITE-PR	gracie-power-reclining-chair	WHITE W/RHINESTONE DETAILS	Leather Match/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	43	34	40
U8311-BLUE VELVET-PR	gracie-power-reclining-chair	BLUE W/RHINESTONE DETAILS	Velvet/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	43	34	40
U8311-BLANCHE BLACK-PCRLS	gracie-power-reclining-loveseat-with-cupholder-console	BLACK W/RHINESTONE DETAILS	Leather Match/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	78	34	40
U8311-BLANCHE WHITE-PCRLS	gracie-power-reclining-loveseat-with-cupholder-console	WHITE W/RHINESTONE DETAILS	Leather Match/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	78	34	40
U8311-BLUE VELVET-PCRLS	gracie-power-reclining-loveseat-with-cupholder-console	BLUE W/RHINESTONE DETAILS	Velvet/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	78	34	40
U8311-BLANCHE BLACK-PRS	gracie-power-reclining-sofa	BLACK W/RHINESTONE DETAILS	Leather Match/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	87	34	40
U8311-BLANCHE WHITE-PRS	gracie-power-reclining-sofa	WHITE W/RHINESTONE DETAILS	Leather Match/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	87	34	40
U8311-BLUE VELVET-PRS	gracie-power-reclining-sofa	BLUE W/RHINESTONE DETAILS	Velvet/webbing/foam/"S"spring/Mechanism/plywood/spring bag	n/a	87	34	40
U6293-BL-CH (M)	greet-chair	BLACK BONDED LEATHER / STAINLESS STEEL LEGS	 BONDED LEATHER/STAINLESS STEEL	n/a	30	34	33
U6293-DG-CH (M)	greet-chair	GREY BONDED LEATHER / STAINLESS STEEL LEGS	 BONDED LEATHER/STAINLESS STEEL	n/a	30	34	33
U6293-R-CH (M)	greet-chair	RED BONDED LEATHER / STAINLESS STEEL LEGS	 BONDED LEATHER/STAINLESS STEEL	n/a	30	34	33
U6293-WH-CH (M)	greet-chair	WHITE BONDED LEATHER / STAINLESS STEEL LEGS	 BONDED LEATHER/STAINLESS STEEL	n/a	30	34	33
UFM802A-DRK GRY VELVET CC-68-CH	greta-chair	DARK GREY	FABRIC / WOOD / STAINLESS STEEL	n/a	39	36	39
