Variant SKU	Handle	Color Description	Material	Finish	Width	Depth	Height
AURORA-W-KB (M)	gilberta-bed	WENGE	MDF	n/a	84	85	43
AURORA-W-QB (M)	gilberta-bed	WENGE	MDF	n/a	65	85	43
AURORA-WH-FB (M)	gilberta-bed	WHITE	MDF	n/a	59	81	43
AURORA-WH-KB (M)	gilberta-bed	WHITE	MDF	n/a	84	85	43
AURORA-WH-QB (M)	gilberta-bed	WHITE	MDF	n/a	65	85	43
AURORA-W-CH (M)	gilberta-chest	WENGE	MDF	n/a	35	18	49
AURORA-WH-CH (M) 	gilberta-chest	WHITE	MDF	n/a	35	18	49
AURORA-W-D (M) 	gilberta-dresser	WENGE	MDF	n/a	59	18	32
AURORA-WH-D (M)	gilberta-dresser	WHITE	MDF	n/a	59	18	32
AURORA-W-EU (M)	gilberta-entertainment-unit	WENGE	MDF	n/a	47	19	27
AURORA-WH-EU (M)	gilberta-entertainment-unit	WHITE	MDF	n/a	47	19	27
AURORA-W-M (M) 	gilberta-mirror	WENGE	MDF	n/a	31	1	43
AURORA-WH-M (M)	gilberta-mirror	WHITE	MDF	n/a	31	1	43
AURORA-W-NS (M)	gilberta-nightstand	WENGE	MDF	n/a	24	16	16
AURORA-WH-NS (M)	gilberta-nightstand	WHITE	MDF	n/a	24	16	16
AVA-BLACK-FB	gili-bed	BLACK	SOLID WOOD / 3D PAPER	n/a	79	58.5	56
AVA-BLACK-KB	gili-bed	BLACK	SOLID WOOD / 3D PAPER	n/a	85	81	56
AVA-BLACK-QB	gili-bed	BLACK	SOLID WOOD / 3D PAPER	n/a	85	65	56
AVA-WHITE-FB	gili-bed	WHITE	SOLID WOOD / 3D PAPER	n/a	79	58.5	56
AVA-WHITE-KB	gili-bed	WHITE	SOLID WOOD / 3D PAPER	n/a	85	81	56
AVA-WHITE-QB	gili-bed	WHITE	SOLID WOOD / 3D PAPER	n/a	85	65	56
AVA-BLACK-CH	gili-chest	MIRROR ACCENTS - SMOOTH WITH WOODGRAIN DETAILS	SOLID WOOD / 3D PAPER	n/a	36	16	50
AVA-WHITE--CH	gili-chest	MIRROR ACCENTS - SMOOTH WITH WOODGRAIN DETAILS	SOLID WOOD / 3D PAPER	n/a	36	16	50
AVA-BLACK-DR	gili-dresser	MIRROR ACCENTS - SMOOTH WITH WOODGRAIN DETAILS	SOLID WOOD / 3D PAPER	n/a	60	16	39
AVA-WHITE-DR	gili-dresser	MIRROR ACCENTS - SMOOTH WITH WOODGRAIN DETAILS	SOLID WOOD / 3D PAPER	n/a	60	16	39
AVA-BLACK-MR	gili-mirror	MIRROR ACCENTS - SMOOTH WITH WOODGRAIN DETAILS	SOLID WOOD / 3D PAPER	n/a	37	1	37.5
