Catalog Year	Catalog Page	 Item#	D E S C R I P T I O N	2022   EAST PETE PRICE 	1SET/#CTN	#PC/CTN	Ctn GW (lbs)	Carton CUFT	Collection Name
2022	226	14347EK	PU EASTERN KING BED	 $ 685.30 	2		151	29.79	Ireland II
2022	226	14350Q	PU QUEEN BED	 $ 536.80 	2		125	24.6	Ireland Ii
2022	228	14367EK	EASTERN KING BED	 $ 330.00 	2		105	12.33	Ireland III
2022	228	14370Q	QUEEN BED	 $ 255.20 	2		82	10.72	Ireland III
2022	229	14390Q	QUEEN BED	 $ 255.20 	2		82	10.72	Ireland III
2022	227	14440F	FULL BED	 $ 249.70 	2		71	9.95	Ireland III
2022	670	15030	SOFA	 $ 1,976.70 		1	180	91.11	Anondale
2022	670	15031	LOVESEAT	 $ 1,658.80 		1	149	69.28	Anondale
2022	670	15032	CHAIR	 $ 1,072.50 		1	109	46.5	Anondale
2022	670	15034	OTTOMAN	 $ 431.20 		1	30	5.58	Anondale
2022	1311	15035	CHAISE W/3PILLOWS	 $ 1,100.00 		1	142	85	Anondale
2022	1311	15037	LOUNGE CHAISE	 $ 301.40 		1	42	11.95	Anna
2022	660	15160	SOFA W/3 PILLOWS	 $ 1,746.80 		1	216	87.5	Dresden
2022	660	15161	LOVESEAT W/2 PILLOWS	 $ 1,350.80 		1	163	67.08	Dresden
2022	660	15162	CHAIR W/1 PILLOW	 $ 941.60 		1	120	46.67	Dresden
2022	505	16250	DINING TABLE	 $ 303.60 		1	86	9.03	Drake
2022	505	16252	SIDE CHAIR (SET-2)	 $ 203.50 		2	37	6.77	Drake
2022	332	19405	WH TWIN LOFT BED SET (5 CTN)	 $ 650.10 	5		295	13.66	Wyatt
2022	332	19412	CHAIR	 $ 49.50 		1	15	0.97	Wyatt
2022	196	19497EK	BK L.P EASTERN KING BED	 $ 333.30 	2		105	8.87	Louis Philippe Iii
2022	196	19500Q	BK L.P QUEEN BED	 $ 257.40 	2		86	7	Louis Philippe Iii
2022	285	19503	NIGHTSTAND	 $ 139.70 		1	39	6.47	Louis Philippe Iii
2022	285	19504	MIRROR	 $ 57.20 		1	31	1.76	Louis Philippe Iii
2022	285	19505	DRESSER	 $ 455.40 		1	110	24.82	Louis Philippe Iii
2022	285	19506	CHEST	 $ 341.00 		1	90	18.51	Louis Philippe Iii
2022	285	19508F	BK L.P FULL BED	 $ 246.40 	2		82	6.38	Louis Philippe Iii
2022	285	19510T	BK L.P TWIN BED	 $ 246.40 	2		73	7.18	Louis Philippe Iii
2022	196	19514CK	CHERRY L.P CAL.KING BED	 $ 333.30 	2		102	8.39	Louis Philippe Iii
2022	196	19517EK	CHERRY L.P EASTERN KING BED	 $ 333.30 	2		105	8.87	Louis Philippe Iii
2022	196	19520Q	CHERRY L.P QUEEN BED	 $ 257.40 	2		86	7	Louis Philippe Iii
2022	286	19523	NIGHTSTAND	 $ 139.70 		1	39	6.47	Louis Philippe Iii
2022	286	19524	MIRROR	 $ 57.20 		1	31	1.76	Louis Philippe Iii
2022	286	19525	DRESSER	 $ 455.40 		1	110	24.82	Louis Philippe Iii
2022	286	19526	CHEST	 $ 341.00 		1	90	18.51	Louis Philippe Iii
2022	286	19528AF	CHERRY L.P FULL BED	 $ 192.50 	2		82	6.38	Louis Philippe Iii
2022	286	19528F	CHERRY L.P FULL BED	 $ 246.40 	2		82	6.38	Louis Philippe Iii
2022	286	19530T	CHERRY L.P TWIN BED	 $ 246.40 	2		73	7.18	Louis Philippe Iii
2022	160	19557EK	EASTERN KING BED	 $ 909.70 	3		233	38.89	Madison Ii
2022	160	19560Q	QUEEN BED	 $ 732.60 	3		203	32.64	Madison Ii
2022	175	19564CK	CAL.KING BED	 $ 356.40 	2		86	11.3	Madison
2022	175	19567EK	EASTERN KING BED	 $ 356.40 	2		86	10.81	Madison
2022	175	19570Q	QUEEN BED	 $ 272.80 	2		75	8.92	Madison
2022	160	19573	NIGHTSTAND	 $ 156.20 		1	39	7.42	Madison
2022	160	19574	MIRROR	 $ 124.30 		1	32	4.42	Madison
2022	160	19575	DRESSER	 $ 512.60 		1	130	27.25	Madison
2022	160	19576	CHEST	 $ 423.50 		1	94	20.07	Madison
2022	1117	20278	TV STAND	 $ 977.90 		1	190	34.39	Remington
2022	189	20397EK	EASTERN KING BED	 $ 390.50 	2		89	9.71	Ilana
2022	189	20400Q	QUEEN BED	 $ 292.60 	2		72	7.81	Ilana
2022	153	20403	NIGHTSTAND	 $ 181.50 		1	39	7.7	Ilana
2022	153	20404	MIRROR	 $ 119.90 		1	30	2.01	Ilana
2022	153	20405	DRESSER	 $ 586.30 		1	138	24.34	Ilana
2022	153	20406	CHEST	 $ 410.30 		1	89	17.71	Ilana
2022	225	20417EK	WH PU EASTERN KING BED	 $ 772.20 	2		242	28.64	Manjot
2022	225	20420Q	WH PU QUEEN BED	 $ 651.20 	2		216	23.59	Manjot
2022	223	20657EK	EASTERN KING PU BED (11LVL)	 $ 716.10 	3		243	20.83	Tirrel
2022	223	20660Q	Q PU BED (22 SLATS)	 $ 603.90 	3		214	17.84	Tirrel
2022	224	20747EK	BK PU EASTERN KING BED	 $ 772.20 	2		242	28.64	Manjot
2022	224	20750Q	BK PU QUEEN BED	 $ 651.20 	2		216	23.59	Manjot
2022	240	20857EK	EASTERN KING BED	 $ 195.80 		1	82	5.31	Ishiko
2022	240	20860Q	QUEEN BED	 $ 160.60 		1	66	4.34	Ishiko
2022	241	20907EK	EASTERN KING BED	 $ 183.70 		1	81	5.5	Ishiko Ii
2022	241	20910Q	QUEEN BED	 $ 150.70 		1	66	4.5	Ishiko Ii
2022	291	21080Q	QUEEN BED	 $ 187.00 		1	72	2.87	Kenney
2022	291	21083F	FULL BED	 $ 177.10 		1	63	3.27	Kenney
2022	291	21085T	TWIN BED	 $ 126.50 		1	51	2.66	Kenney
2022	84	21103	NIGHTSTAND	 $ 613.80 		1	106	19.27	Versailles
2022	84	21104	MIRROR	 $ 423.50 		1	64	8.85	Versailles
2022	84	21105	DRESSER	 $ 1,490.50 		1	240	39.84	Versailles
2022	84	21106	CHEST	 $ 1,232.00 		1	231	38.67	Versailles
2022	1520	21107	VANITY DESK	 $ 1,271.60 		1	190	30.32	Versailles
2022	1520	21108	VANITY STOOL	 $ 330.00 		1	35	7.33	Versailles
2022	84	21114CK	CHERRY OAK CAL.KING BED	 $ 2,788.50 	3		322	96.67	Versailles
2022	84	21117EK	CHERRY OAK EASTERN KING BED	 $ 2,788.50 	3		348	102.56	Versailles
2022	84	21120Q	CHERRY OAK QUEEN BED	 $ 2,530.00 	3		292	100.67	Versailles
2022	83	21124CK	CAL.KING BED	 $ 1,796.30 	3		289	56.1	Versailles
2022	83	21127EK	EASTERN KING BED	 $ 1,796.30 	3		298	58.1	Versailles
2022	83	21130Q	QUEEN BED	 $ 1,709.40 	3		260	48.6	Versailles
2022	83	21133	NIGHTSTAND	 $ 613.80 		1	106	19.27	Versailles
2022	83	21134	MIRROR	 $ 423.50 		1	64	8.85	Versailles
2022	83	21135	DRESSER	 $ 1,490.50 		1	240	39.84	Versailles
2022	83	21136	CHEST	 $ 1,232.00 		1	227	38.67	Versailles
