"ID","Handle","Command","Title","Vendor","Type","Tags","Tags Command","Variant Price","Variant Compare At Price","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Item ID","Variant ID","Variant Command","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value"
"1608003879002","julieta-dining-set","UPDATE","Julieta Dining Set","Minhas-Dropped","DISCONTINUED","clearance, color-brown, Jan_14_2019, Jan_14_2019_2, seating-four-seating, style-casual, under-1000, under-1500, under-2000, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","1399.99","","shopify","0","16015135015002","15870979506266","MERGE","Color","White","Configuration","Table + 4 Chairs","",""
"1312333234290","benson-chair","UPDATE","Benson Chair","Nuevo-Dropped","DISCONTINUED","changeimage, color-light-grey, Exclusive_Neha_10, material-microfiber, special, style-contemporary, under-1500, width-35-45, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","1499.99","","shopify","0","16722153963610","16461226967130","MERGE","Title","Default Title","","","",""
"1312332939378","cyrus-sofa","UPDATE","Cyrus Sofa","Nuevo-Dropped","DISCONTINUED","changeimage, color-blue, Exclusive_Neha_10, material-microfiber, special, style-contemporary, under-2000, width-35-45, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","1999.99","","shopify","0","16722153865306","16461226868826","MERGE","Title","Default Title","","","",""
"1312333070450","benson-sofa","UPDATE","Benson Sofa","Nuevo-Dropped","DISCONTINUED","changeimage, color-light-grey, Exclusive_Neha_10, material-microfiber, special, style-contemporary, under-2000, width-35-45, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","1999.99","","shopify","0","16722153898074","16461226901594","MERGE","Title","Default Title","","","",""
"1312333365362","matthew-2-piece-sectional","UPDATE","Matthew 2 Piece Sectional","Nuevo-Dropped","DISCONTINUED","color-grey, Exclusive_Neha_10, material-microfiber, sectionals, special, style-contemporary, under-2500, width-35-45, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","2999.99","","shopify","0","16722153996378","16461226999898","MERGE","Title","Default Title","","","",""
"1903015690330","bend-classic-transitional-rug","UPDATE","Bend Classic Transitional Rug","American Rugs-Dropped","DISCONTINUED","color-blue, Exclusive_Neha_10, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","299.99","","shopify","0","18040194498650","17587677790298","MERGE","Size","5' x 7'","","","",""
"1903015690330","bend-classic-transitional-rug","UPDATE","Bend Classic Transitional Rug","American Rugs-Dropped","DISCONTINUED","color-blue, Exclusive_Neha_10, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","699.99","","shopify","0","18040194531418","17587677823066","MERGE","Size","8' x 10'","","","",""
"1903009300570","bend-vintage-contemporary-rug","UPDATE","Bend Vintage Contemporary Rug","American Rugs-Dropped","DISCONTINUED","color-cream, Exclusive_Neha_10, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","299.99","","shopify","0","18040131059802","17587618414682","MERGE","Size","5' x 7'","","","",""
"1903009300570","bend-vintage-contemporary-rug","UPDATE","Bend Vintage Contemporary Rug","American Rugs-Dropped","DISCONTINUED","color-cream, Exclusive_Neha_10, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","599.99","","shopify","0","18040138793050","17587625885786","MERGE","Size","8' x 10'","","","",""
"1903014051930","bend-ivory-transitional-rug","UPDATE","Bend Ivory Transitional Rug","American Rugs-Dropped","DISCONTINUED","color-blue, color-ivory, Exclusive_Neha_10, discontinued-year-2020, discontinued-month-2, discontinued-day of month-14, discontinued-day of week-Friday","REPLACE","299.99","","shopify","0","18040180047962","17587663863898","MERGE","Size","5' x 7'","","","",""
