Given SKU	Chosen Collection Name	Given Description	Handle Suffix	Chosen Handle
U7303C-DOMINO COFFEE-RS W/DDT	n/a	RECLINING SOFA W/ DROP DOWN TABLE&DRAWER	n/a	gretel-reclining-sofa-with-dropdown-table
U3118C-SUBARU COFFEE-SECTIONAL	n/a	3PC SECTIONAL	n/a	gladis-sectional
U8137N-2PC SEC (M)	n/a	SECTIONAL NATALIE LT GREY/DK GREY	n/a	natalie-sectional
U1953-SEC-LSF W/O POWER/RSF CHAISE	n/a	6 PCS SECTIONAL	n/a	gisel-sectional
U1953-SEC-LSF POWER/RSF CHAISE	n/a	6 PCS SECTIONAL	n/a	gisel-sectional
U1953-SEC-LSF/RSF POWER	n/a	6 PCS SECTIONAL	n/a	gisel-sectional
U7303C-SECTIONAL (SP) 	n/a	3PC SECTIONAL GIN RUMMY CHARCOAL	n/a	gwyn-sectional
U9303C-BR-3PC SEC (SP)	n/a	3PC SECTIONAL BROWN	n/a	gisella-sectional
U9782N-WH-SECTIONAL (M)	n/a	2PC SECTIONAL WHITE	n/a	gweneth-sectional
U9782N-BL-SECTIONAL (M)	n/a	2PC SECTIONAL BLACK	n/a	gweneth-sectional
UM02-BL-SECTIONAL	n/a	SECTIONAL BLANCHE BLACK	n/a	gracelyn-sectional
  T858E	n/a	END TABLE	n/a	gwen-end-table
T1182C-BL	n/a	BLACK COFFEE TABLE	n/a	gwenith-coffee-table
T1182C-WH	n/a	WHITE COFFEE TABLE	n/a	gwenith-coffee-table
T1182E-BL	n/a	BLACK END TABLE	n/a	gwenith-end-table
T1182E-WH	n/a	WHITE END TABLE	n/a	gwenith-end-table
T1274C	n/a	COFFEE TABLE MARBLE/SS	n/a	gerdie-coffee-table
T1274E	n/a	END TABLE MARBLE/SS	n/a	gerdie-end-table
T161C	n/a	COFFEE TABLE CONCRETE PAPER/LT GREY	n/a	ginnette-coffee-table
T1628C	n/a	COFFEE TABLE	n/a	gwenna-coffee-table
T1628E	n/a	END TABLE	n/a	gwenna-end-table
T1713CT	n/a	COFFEE TABLE CLEAR GLASS W/GRY & SS	n/a	glorianne-coffee-table
T1713ET	n/a	END TABLE CLEAR GLASS W/GRY & SS	n/a	glorianne-end-table
T2056C	n/a	COFFEE TABLE	n/a	gabrianna-coffee-table
T2056E	n/a	END TABLE	n/a	gabrianna-end-table
T31C	n/a	COFFEE TABLE WHITE	n/a	gail-coffee-table
T368CT (M)	n/a	COFFEE TABLE	n/a	gaho-coffee-table
T368ET (M)	n/a	END TABLE	n/a	gaho-end-table
T375C	n/a	COFFEE TABLE 	n/a	gaia-coffee-table
T4126CT	n/a	COFFEE TABLE	n/a	gala-coffee-table
T4126ET	n/a	END TABLE	n/a	gala-end-table
T4127-CON	n/a	CONSOLE TABLE	n/a	galice-console-table
T4127CN	n/a	COFFEE TABLE	n/a	galice-coffee-table
T4127EN	n/a	END TABLE	n/a	galice-end-table
T53C	n/a	COFFEE TABLE WHITE HG/GREY	n/a	galina-coffee-table
T646CT (M) 	n/a	COFFEE TABLE	n/a	galen-coffee-table
T646ET (M) 	n/a	END TABLE	n/a	galen-end-table
