Package Width,Package Depth,Package Height
39.37,1.97,39.37
21.65,15.75,25.2
,,
,,
23.62,18.5,45.27
45,19,31
24,17,21
133,70,26
109,69,32
24,42,38
24,42,38
19.7,25.6,17.3
25.6,25.6,17.3
102/126,41,37
102/126,41,37
102/126,41,37
102/126,41,37
102/126,41,37
42,42,38
117/146,37,37/40
64,32,18
117/146,37,37/40
145/115,45,33
145/115,45,33
113/91,40.5,36.5
113/91,40.5,36.5
123.5/102.7,42,36.5
123.5/102.7,42,36.5
124/117,39,31/39
135/110,42,30/38
45,40,36
68,40,36
87,40,36
133/108,41,42
133/108,41,42
107,87,37
107,107,39
146,42.5,31
146,42.5,31
40,40,19
151,120,31/37
151,120,31/37
128/98,40,34/42
128/98,40,34/42
114x93,44/93(chaise),40
114x93,44/93(chaise),40
123/123,38.5,33/40
138,67,37
106/81,37,37
106/81,37,37
91/111,41,31
91/111,41,31
152/108,43,33
152/108,43,33
137,69,36.5
117,41/69(chaise),30/38
117,41/69(chaise),30/38
117,40/117,38
114.75,70.08/38.58,41
120/105,38,38
120/105,38,38
120/105,38,38
120/105,38,38
120/105,38,38
120/105,38,38
120/105,38,38
120/105,38,38
112,84,37
120,41/79,34
42,42,34
83(3 seater),42,34
99,66,42
107,87,28 headrest folded / 37 headrest unfolded
107,87,28 headrest folded / 37 headrest unfolded
107/109,39,33.5 / 40 with optional headrest
106,69,33 inch / 38 inch with headrest
97,77,32/38
108,79,32/39
132,105,31/39
105/63,36,36
110.63,78.74x40.16,41
110.63,78.74x40.16,41
42,39,43
61,39,43
80,39,43
32,32,13
51,27.5,16
51,27.5,16
84,35,35
84,33,35
,,
,,
70,24,22
18,22,36
43,39,40
66,39,40
85,39,40
43,43,15
44,39,31
,,
,,
43,39,31
81,37,31
,,
38,38,37
60,38,37
79,38,37
45,42,28/35
69,42,28/35
79,42,28/35
43,36,30
50,20,27
27,20,27
65,36,30
85,36,30
50,34,40
51,28,20
28,28,20
70,34,40
91,34,40
91,34,40
44,33,31
67,33,31
81,33,31
19,19,32
19,17,33
17,23,42
47,35,35
64,35,35
80,35,35
42,36,36
62,36,36
79,36,36
50,39,42
70,39,42
87,39,42
24,19,36
37.5,35.5,41.5
57,35.5,41.5
77,35.5,41.5
48,39,37
72,39,37
86,39,37
41,39,39.5
41,39,39.5
65,39,39.5
65,39,39.5
85,39,39.5
85,39,39.5
47,41,30
67,41,30
85,41,30
52,41,30/37
67,41,30/37
91,41,30/37
80,25,31
80,25,31
36,35,34
61,35,34
79,40,34
48,38,35.4
48,38,35.4
48,38,35.4
48,38,35.4
49,25,21
49,25,21
49,25,21
49,25,21
49,25,21
27,25,21
27,25,21
27,25,21
27,25,21
27,25,21
69,38,37.4
69,38,37.4
69,38,37.4
69,38,37.4
87,38,37.4
87,38,37.4
87,38,37.4
87,38,37.4
87,38,37.4
87,38,37.4
87,38,37.4
87,38,37.4
73,22,21
73,22,21
73,22,66
73,22,66
36.5,30,33
36.5,30,33
47,29.5,33
47,29.5,33
58,31,32
92,14,52
94.5,67,0.21
59,31,30
52,18,35
79,118,0.21
39,41,25
64,41,25
79,42,26
48,38,40
47.2,37.4,39.3
52,26,23
52,26,22.5
52,26,23
27,26,23
26.7,26,22.5
27,26,23
67,38,40
67,37.4,39.3
85,38,40
84.6,37.4,39.3
94.5,67,0.21
91,17,73
60,23,29
43,24,16/22.5
90.5,63,0.23
20,23.62,44.88
59.06,15.75,23.62
85,37,35
37,38,40
59,38,40
78,38,40
79,38,40
106,14,69/24
118,79,0.26
37,40,37
46,27,21
46,27,21
27,27,21
27,27,21
57,40,37
78,40,37
73,12,60
73,12,60
50,40,37
74,40,37
86,40,37
36,37,41
59,37,41
78,37,41
53,53,30
22,23,36
63,35,30
17,24,37
,,
,,
47,16,30
47,16,30
22,23,33
22,23,33
79,39,30
79,39,30
24,22,33
63/87,39,30
71/98,35,29.5
47,47,30
20,22,31
19,21,34
18,22,36
19,24,36
63,16,34
63/87,36,30
18,23,34
71/87,39,30
20,26.77,36.22/18.11
20,26.77,36.22/18.11
17,21,38
,,
79,40,30
79,40,30
50/78,28,30-Dec
39/51,39,30
47/63,31,30
,,
71,35,30
19,17,33
53,53,29.5
18,21,36
18,21,36
17,23,42
17,23,42
51.5/75,35,29.5
51.5/75,35,29.5
24,19,36
24,19,36
18,19,37
,,
,,
,,
18,19,37
18,19,37
71,39,30
74/99,40,30
24,25,41
24,25,41
49,19.5,31
64,19.5,31
64,19.5,31
65,21,84
65,21,84
41,3,47
73/91,42,31
20,23,41
24,25,41
70,20,33
,,
46,19,73
47,1,35
47,1,35
79/98,40,29.5
79/98,40,30
20,20,41
20,20,41
,,
46,19,75
70.87,18.5,36.61
42.91,19.29,17.32
55.12/80.71,33.46,29.92
55.12,1.97,35.43
17.5,21,42
24,24,43
67,22,37
45,2,42
67,22,86
39,20,72
81,42,31
21,24,43
63,16,36
27,20,46
63/87,36,30
63,16,36
39,16,73
63,4,40
27,20,46
39,16,77
63,16,81
39.37,15.75,76.77
22,210,46
63/87,36,30
63,4,39
22.44,20.47,46.06
70.87,18.5,36.61
55.12,1.97,35.43
55/80.71,33.46,29.92
42.91,19.29,17.32
75,22,34
63,2,32
49,17,78
79/97,41,30
19,24,42
22,22,41
82,22,40
65,2,45
78,23,91
78,23,91
79/98,43,31
19,22,41
81,20,34
75,1,31
42,18,72.5
22,19,40
63/83,35.5,30
74,22,34
53,22,34
,,
49,17,78
49,17,78
,,
,,
29,17,78
20,20,41
79/98/118,41,31
79/98,40,29.5
63,2,31
63,2,31
19,24,42
,,
63,21,19
,,
35,9.5,53
63,20,33
63,1,34
23,17,73
23,17,73
43,17,73
47,28,18
19,22,40
71/89,41,30
19,22,40
