KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
PB-131 1422	bespoke-pillow-rug	Rug	n/a	Terracotta	Wool	Turkish Knot	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PL-131_1489595823.jpg	n/a
PB-131 2222	bespoke-pillow-rug	Rug	n/a	Terracotta	Wool	Turkish Knot	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PL-131_1489595823.jpg	n/a
PB-132 1422	bespoke-pillow-rug	Rug	n/a	n/a	Wool Pile / Cotton Foundation	Hand Knotted	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PB-132_1514992238.jpg	n/a
PB-132 2222	bespoke-pillow-rug	Rug	n/a	n/a	Wool Pile / Cotton Foundation	Hand Knotted	22" 22"	n/a	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PB-132_1514992238.jpg	n/a
PB-161 1422	bespoke-pillow-rug	Rug	n/a	Linen	Silkette™ 	Hand Knotted	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PL-161_1489595741.jpg	n/a
PB-161 2222	bespoke-pillow-rug	Rug	n/a	Linen	Silkette™ 	Hand Knotted	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PL-161_1489595741.jpg	n/a
PB-164 1422	bespoke-pillow-rug	Rug	n/a	Indigo	Silkette™ 	Hand Knotted	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PL-164_1489595728.jpg	n/a
PB-164 2222	bespoke-pillow-rug	Rug	n/a	Indigo	Silkette™ 	Hand Knotted	22"	22"	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PL-164_1489595728.jpg	n/a
PB-167 1422	bespoke-pillow-rug	Rug	n/a	n/a	Silkette Pile / Cotton Foundation	Hand Knotted	14"	22"	0.5	5	Poly-fill included. Luxurious Cotton Chenille back.	85	http://kalaty.com/productimages/large/PB-167_1514992254.jpg	n/a
PB-167 2222	bespoke-pillow-rug	Rug	n/a	n/a	Silkette Pile / Cotton Foundation	Hand Knotted	22" 22"	n/a	0.5	8	Poly-fill included. Luxurious Cotton Chenille back.	125	http://kalaty.com/productimages/large/PB-167_1514992254.jpg	n/a
