KRC SKU	Handle	Title	Intro	COLOR CODE	Pile Material	WEAVE	W	D	Pile Height	PKG Lbs	Special Feature	P Price	Image Link	Barcode
SU-114 46	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	4'	6'	0.5	17	Double-Sided	260	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 48	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	4'	8'	0.5	22	Double-Sided	350	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 69	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	6'	9'	0.5	38	Double-Sided	590	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 810	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	8'	10'	0.5	56	Double-Sided	880	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 912	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	9'	12'	0.5	76	Double-Sided	1190	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 R10	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	10' Round	n/a	0.5	68	Double-Sided	1100	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 R6	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	6' Round	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 S10	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	10' Square	n/a	0.5	68	Double-Sided	1100	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 S6	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	6' Square	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-114 S8	soumak-rug	Rug	n/a	Rseivy	Wool	Soumak	8' Square	n/a	0.5	45	Double-Sided	700	http://kalaty.com/productimages/large/SU-114.jpg	n/a
SU-115 1014	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	10'	14'	0.5	98	Double-Sided	1540	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 1215	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	12'	15'	0.5	126	Double-Sided	2430	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 1218	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	12'	18'	0.5	149	Double-Sided	2920	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 23	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	2'	3'	0.5	5	Double-Sided	70	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 2612	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	2'6"	12'	0.5	21	Double-Sided	330	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 268	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	2'6"	8'	0.5	14	Double-Sided	220	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 35	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	3'	5'	0.5	11	Double-Sided	170	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 410	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	4'	10'	0.5	28	Double-Sided	440	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 46	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	4'	6'	0.5	17	Double-Sided	260	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 48	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	4'	8'	0.5	22	Double-Sided	350	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 69	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	6'	9'	0.5	38	Double-Sided	590	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 810	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	8'	10'	0.5	56	Double-Sided	880	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 912	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	9'	12'	0.5	76	Double-Sided	1190	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 R10	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	10' Round	n/a	0.5	68	Double-Sided	1100	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 R6	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	6' Round	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 R8	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	8' Round	n/a	0.5	45	Double-Sided	700	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 S10	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	10' Square	n/a	0.5	68	Double-Sided	1100	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-115 S6	soumak-rug	Rug	n/a	Rustivy	Wool	Soumak	6' Square	n/a	0.5	25	Double-Sided	400	http://kalaty.com/productimages/large/SU-115.jpg	n/a
SU-119 35	soumak-rug	Rug	n/a	Sgrgld	Wool	Soumak	3'	5'	0.5	11	Double-Sided	170	http://kalaty.com/productimages/large/SU-119 NP.jpg	n/a
SU-119 69	soumak-rug	Rug	n/a	Sgrgld	Wool	Soumak	6'	9'	0.5	38	Double-Sided	590	http://kalaty.com/productimages/large/SU-119 NP.jpg	n/a
SU-128 1218	soumak-rug	Rug	n/a	Sftgld	Wool	Soumak	12'	18'	0.5	149	Double-Sided	2920	http://kalaty.com/productimages/large/SU-128 NP.jpg	n/a
