acme.name	acme.sku	acme.product_weight	acme.product_length	acme.product_width	acme.product_height	acme.package_length	acme.package_width	acme.package_height	acme.package_weight	acme.ship_type	acme.package_type	acme.collection_name	acme.catalog	acme.product_type	acme.description	acme.short_description	acme.catalog_finish	acme.material_detail	acme.fl_qty	acme.ga_qty	acme.nj_qty	acme.ny_qty	acme.tx_qty	acme.la_qty	acme.sf_qty	acme.MSRP	acme.ETA_LA_warehouse	acme.group	acme.video
Gorden End Table	81447	12	24	14	25	28	25	5	14	GROUND	ISTA-3A	Gorden	2017C	End Table	KD, Rectangular Leg End Table w/Bottom Shelf Wooden Top/Shelf: Weathered Oak finish (No Apron) Metal Leg & Frame: Antique Nickel (NO Caster Leg)	The Gorden occasional table collection create a industrial feel in your living room or seating area, which blends rustic oak finish wood with metal legs for a stylish look. The table also offers a lower shelf for extra storage under the table top. Simple yet unique styling, this end table will become the centerpieces of your living room.	Weathered Oak & Antique Nickel Finish	Metal, Wood, Composite Wood	1	0	0	1	2	2	1	363	NONE	GP-000276	
Lilac Wall Clock	97042	13	20	2	20	24	24	5	14	LTL	ISTA-6A	Lilac	2020C	Wall Clock	Quatrefoil Clock (Wall) Mirrored Finish: Beveled Clock Mechanism: Quartz, Battery Required: 1A Not Included Chime Sound: Not Included (Low Ticking) Dial Numeral Type: Roman	<span>	Mirrored	Clock, Mirror, Composite Wood	0	0	1	0	0	0	0	165	NONE		
Nyoka Wall Clock	97046	12	20	2	20	24	24	5	13	GROUND	ISTA-6A	Nyoka	2020C	Wall Clock	Round Clock (Wall) Beveled Mirrored Finish Clock Mechanism: Quartz, Battery Required: 1A Not Included Chime Sound: Not Included (Low Ticking) Dial Numeral Type: Roman	<span>	Mirrored	Clock, Mirror, Composite Wood	0	0	0	0	0	0	0	198	NONE		
Rekha Accent Candleholder (2Pc)	97616	11	5	5	17	20	9	15	15	GROUND	CARTON	Rekha	2020C	Accent Candleholder	Candleholder Features: Beveled Mirrored Finish w/Faux Crystals Inlay, 4mm Clear Tempered Glass Frame: Mirror, Glass, MDF, Acrylic Inlay Q&A] Candle NOT Included	The Rekha candle holder collection fills your home with soothing scents and the simulating look of natural light. It is crafted from manufactured wood and features a mirrored frame with beveled edges and acrylic inlay. Available in two different sizes, acquire this set for a warm, welcoming centerpiece.	Mirrored, Faux Diamonds	Mirror, Glass, Faux Crystals, Composite Wood	15	6	7	16	3	113	0	225	NONE	GP-000928	
Nysa Accent Candleholder (2Pc)	97622	8	4	4	13	14	12	16	13	GROUND	CARTON	Nysa	2020C	Accent Candleholder	Candleholder Features: Beveled Mirrored Finish w/Faux Crystals Inlay, 4mm Clear Tempered Glass Frame: Mirror, Glass, MDF, Acrylic Inlay Q&A] Candle NOT Included	Nothing says ambiance quite like a flickering flame! Put your favorite scented candles or flameless designs on display with this classic Nysa candleholder. A versatile addition to your abode, it can be used in any room and features a mirrored frame with faux crystal inlay. Available in two different sizes, it is a perfect addition to your home.	Mirrored & Faux Crystals	Mirror, Glass, Faux Crystals, Composite Wood	3	2	3	19	2	36	3	183	NONE		
Ragna Chair	38064	13	17	17	30	31	18	3	15	GROUND	CARTON	Ragna	2018S	Chair	KD, Armless Chair (High Backrest) Stationary Seat: Standard Dining Height Wood Seat & Back: Solid Wood & MDF Backrest Style: Slat (Open) Wood Straight Leg & Crossbar Support (3pc): Solid Wood	<span>	White Finish	Wood, Composite Wood	0	2	0	5	1	166	0	126	NONE	GP-000684	
Inverness Mirror	66086	13	42	1.63	35	44	37	3	18	GROUND	CARTON	Inverness	2017C	Mirror	Wall Mirror, Mirror Beveled	<span>	Salvage Oak Finish	Wood, Mirror	0	2	0	0	0	0	1	75	NONE		
Massey Floor Lamp	40200	13	0	0	70	26	15	6	17	GROUND	ISTA-3A	Massey	2019C	Floor Lamp	KD, Floor Lamp Features: Frosted LED Light Cover Light Bulb Required Type: LED 24W x 1Pc (Included) Switch Type: 4-Way Touch on Lamp Pole NO Shade Straight Metal Pole w/Round Base: Brushed Silver Finish, Metal Tube	A revolution in lighting, the Massey floor lamp is a truly perfect marriage of design and functionality without compromise. Featuring 4 levels touch light, you could adjust the light levels to suit your taste and mood easily. Available in black or brushed silver, you could choose the one that matches your home decor to complete your room.	Brushed Nickel	Metal, LED Light	0	1	0	0	0	0	2	261	NONE		
Massey Floor Lamp	40201	13	1	1	70	26	15	6	17	GROUND	ISTA-3A	Massey	2019C	Floor Lamp	KD, Floor Lamp Features: Frosted LED Light Cover Light Bulb Required Type: LED 24W x 1Pc (Included) Switch Type: 4-Way Touch on Lamp Pole NO Shade Straight Metal Pole w/Round Base: Black Matte Finish, Metal Tube	A revolution in lighting, the Massey floor lamp is a truly perfect marriage of design and functionality without compromise. Featuring 4 levels touch light, you could adjust the light levels to suit your taste and mood easily. Available in black or brushed silver, you could choose the one that matches your home decor to complete your room.	Black Finish	Metal, LED Light	0	0	0	0	2	20	3	261	NONE		
Nasa Wall Clock	97398	13	20	2	20	23	23	5	17	GROUND	ISTA-6A	Nasa	2020C	Wall Clock	Square Wall Clock Mirror with Beveled Edge (Frosted Checkered Pattern) Dial Numeral Type: Roman Numerals Quartz Mechanism Battery NOT Included (1Pc of AA 1.5V) Back: Black Finish (NO Sound/Chime)	The Nasa mirrored wall clock is sure to be a focal point of any room. This stylish wall clock features a geometric mirror and tile frame around the face. The clock face has a clean, modern look featuring roman numerals.	Mirrored & Mother Pearl	Clock, Mirror, Composite Wood	1	0	28	1	0	0	2	198	NONE		
