acme.name	acme.sku	acme.product_weight	acme.product_length	acme.product_width	acme.product_height	acme.package_length	acme.package_width	acme.package_height	acme.package_weight	acme.ship_type	acme.package_type	acme.collection_name	acme.catalog	acme.product_type	acme.description	acme.short_description	acme.catalog_finish	acme.material_detail	acme.fl_qty	acme.ga_qty	acme.nj_qty	acme.ny_qty	acme.tx_qty	acme.la_qty	acme.sf_qty	acme.MSRP	acme.ETA_LA_warehouse	acme.group	acme.video
Louis Philippe III Chest	25506	75	32	18	48	33	19	51	90	GROUND - OVERSIZE	CARTON	Louis Philippe III	2016S	Chest	5 Drw: 25"L x 13"W x 7"H (643 x 371 x 166mm) Drawer: GLIDE Center Metal (Kenlin, 2/3 Ext), DT French Back Only, Hdw: Brushed Nickel Metal Handle NO Hidden Drw, NO Felt-Lined Leg Size: 4.8"L x 0.6"W x 5.1"H (122 x 15 x 130mm) ASTM F2057 - 17 Compliant (Yes), ASTM F3096 - 14 NOT Compliant	This Louis Philippe III chest comes in black, cherry, white, and antique gray finish. 5 Drawers with brushed nickel metal hardware and center metal glides offer ample space for your clothes, bedding and linens. This beautiful chest will be the perfect complement from the most sophisticated to decor casual settings.	Gray Finish	Wood, Veneer (Wood), Composite Wood	0	0	4	1	1	0	0	603	NONE	GP-001023	
Saveria Nightstand	25663	29	19	16	22	21	19	19	35	GROUND	CARTON	Saveria	2017C	Nightstand	2 Drw Padded: PU Drawer: GLIDE Side Metal, DT Not Included KD Wood Tapered Leg: Black Finish, Wood (Rbw), 4" (100mm), Carton: 5" x 5" x 4" (120 x 135 x 90mm) Top: Polyfoam 19" x 16" (475 x 400 x 5mm)	<span>	Two Tone Gray PU	Upholstery, Composite Wood	1	1	2	0	1	26	1	276	NONE	GP-000621	
Saveria Dresser	25665	84	42	16	31	44	18	29	90	GROUND - OVERSIZE	CARTON	Saveria	2017C	Dresser	6 Drw Padded: PU Drawer: GLIDE Side Metal, DT Not Included, KD Wood Tapered Leg: Black Finish, Wood (Rbw), 4" (100mm), Carton: 5" x 8" x 4" (120 x 200 x 90mm) Top: Polyfoam 42" x 16" (1065 x 410 x 5mm) Drawer Size: Inner 13" x 13" x 5"H (328 x 319 x 118mm), Outter 14" x 14" x 7"H (365 x 363 x 172) ASTM F2057 - 17 + ASTM F3096 - 14 NOT Compliant	<span>	Two Tone Gray PU	Upholstery, Composite Wood	0	1	1	0	2	0	2	783	NONE	GP-000621	
Naima Nightstand	25773	46	26	17	26	29	19	30	60	GROUND	ISTA-3A	Naima	2017C	Nightstand	3 Drw (Jewelry Drawer w/Compartments) Drawer: GLIDE Center Metal (Kenlin, 3/4 Ext.), DOVETAIL English Front & Back, Fully Finished Inside (Full Ext. & Felt-Lined Only for Jewelry Drawer), Safety Stop, Manual Closing, Hdw: Single Pull Knobs (Handle Jewerly Drawer), Chrome Finish, Metal Construction: Wooden Case Good with Veneer (3D Foil), Rbw and Chipboard	<span>	White Finish	Wood, Acrylic Trim, Veneer, Composite Wood	0	82	82	114	66	281	47	456	NONE	GP-000558	
Naima Mirror	25774	31	47	1	36	50	40	4	36	GROUND - OVERSIZE	ISTA-3A	Naima	2017C	Mirror	Mirror Not Beveled	<span>	White Finish	Wood, Mirror, Veneer, Composite Wood	0	8	132	67	71	89	27	303	NONE	GP-000558	
Naima Dresser	25775	137	63	17	39	66	19	42	174	LTL	ISTA-3A	Naima	2017C	Dresser	9 Drw (Jewelry Drawer w/Compartments) Drawer: GLIDE Center Metal (Kenlin, 3/4 Ext.), DOVETAIL English Front & Back, Fully Finished Inside (Full Ext. & Felt-Lined Only for Jewelry Drawer), Safety Stop, Manual Closing, Hdw: Single Pull Knobs Top Drawers, Handle Jewerly Drawer, Double Pull Knobs Mid & Bottom Drawers, Chrome Finish, Metal Construction: Wooden Case Good with Veneer (3D Foil), Rbw and Chipboard Drawer Size: A) 20" x 14" x 8"H (Top 3 Drawers, Single Knob), B) 29" x 14" x 9"H (Bottom 4 Drawers, Double Knobs), C) 29" x 14" x 3"H (Mid 2 Jewelry Drawers, Sparkling Fronts, Single Pull Handle) ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	<span>	White Finish	Wood, Acrylic Trim, Veneer, Composite Wood	10	7	45	24	41	110	23	1347	NONE	GP-000558	
Naima Chest	25776	110	34	17	51	37	21	58	136	LTL	ISTA-3A	Naima	2017C	Chest	6 Drw (Jewelry Drawer w/Compartments) Drawer: GLIDE Center Metal (Kenlin, 3/4 Ext.), DOVETAIL English Front & Back, Fully Finished Inside (Full Ext. & Felt-Lined Only for Jewelry Drawer), Safety Stop, Manual Closing, Hdw: Double Pull Knobs (Handle Jewerly Drawer), Chrome Finish, Metal Construction: Wooden Case Good with Veneer (3D Foil), Rbw and Chipboard ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	<span>	White Finish	Wood, Acrylic Trim, Veneer, Composite Wood	1	48	73	55	58	112	35	1011	NONE	GP-000558	
Oberreit Nightstand	25793	37	24	16	24	26	18	26	46	GROUND	CARTON	Oberreit	2017C	Nightstand	2 Drw Drawer: GLIDE Center Metal (Not Full Ext), DT English Front Only, Felt-Lined Top Drawer,	<span>	Walnut Finish	Wood, Composite Wood	14	2	9	24	31	666	30	417	NONE	GP-000583	
Oberreit Mirror	25794	22	41	1	34	44	38	3	29	GROUND	CARTON	Oberreit	2017C	Mirror	Mirror without Beveled & Support Included	<span>	Walnut Finish	Wood, Mirror, Composite Wood	6	2	7	15	17	1	3	195	NONE	GP-000583	
Oberreit Dresser	25795	134	59	16	40	61	18	43	152	LTL	CARTON	Oberreit	2017C	Dresser	8 Drw Drawer: GLIDE Center Metal (Not Full Ext), DT English Front Only, Felt-Lined Top Drawer, ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	<span>	Walnut Finish	Wood, Composite Wood	9	1	11	15	19	167	18	1320	NONE	GP-000583	
Oberreit Chest	25796	90	31	16	48	34	18	50	104	GROUND - OVERSIZE	CARTON	Oberreit	2017C	Chest	5 Drw Drawer: GLIDE Center Metal (Not Full Ext), DT English Front Only, Felt-Lined Top Drawer, ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	<span>	Walnut Finish	Wood, Composite Wood	28	1	14	17	18	36	19	906	NONE	GP-000583	
Cyrille Mirror	25854	24	41	2	36	46	39	2	29	LTL	CARTON	Cyrille	2017C	Mirror	Mirror without Beveled	<span>	Walnut	Wood, Mirror, Veneer	0	2	0	0	0	0	3	15	NONE		
Naima Nightstand	25903	50	26	17	26	28	19	29	57	GROUND	CARTON	Naima	2017S	Nightstand	3 Drw (Jewelry Drawer w/Compartments) Drawer: GLIDE Center Metal (Kenlin, 3/4 Ext.), DT English Front & Back,(Only Jewelry Drawer with Felt-Lined & Full Ext.), Handle: Crystal like Inserts Construction: Wooden Case Good with Veneer (3D Foil), Rbw and Chipboard	The Naima nightstand offers a sophisticated look, clean lines and contemporary style. This black nightstand features three drawers, with the middle drawer being a Felt-Lined jewelry drawer with compartments and front panel with crystal like inserts. Add this nightstand to your bedroom to provide an elegant style that will bring you a perfect sleek design.	Black Finish	Wood, Composite Wood	19	132	210	191	134	195	61	456	NONE	GP-000589	
Naima Mirror	25904	31	47	1	36	49	38	3	35	GROUND - OVERSIZE	CARTON	Naima	2017S	Mirror	Mirror Not Beveled ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	The Naima mirror offers a sophisticated look, clean lines and contemporary style. This rectangular mirror features a black frame with sleek lines. Add this mirror to your bedroom to provide an elegant style that will bring you a perfect sleek design.	Black Finish	Wood, Mirror, Composite Wood	11	79	117	101	118	391	34	303	NONE	GP-000589	
Naima Dresser	25905	129	63	17	39	65	19	42	153	LTL	CARTON	Naima	2017S	Dresser	9 Drw (Jewelry Drawer w/Compartments) Drawer: GLIDE Center Metal (Kenlin, 3/4 Ext.), DT English Front & Back, (Only Jewelry Drawer with Felt-Lined & Full Ext.), Handle: Crystal like Inserts Construction: Wooden Case Good with Veneer (3D Foil), Rbw and Chipboard Drawer Size: A) 20" x 14" x 8"H (Top 3 Drawers, Single Handle), B) 29" x 14" x 9"H (Bottom 4 Drawers, Single Handle), C) 29" x 14" x 3"H (Mid 2 Jewelry Drawers, Sparkling Fronts, Single Pull Handle) ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	The Naima dresser offers a sophisticated look, clean lines and contemporary style. This black dresser features nine drawers, with the second drawer being a Felt-Lined jewelry drawer with compartments and front panel with crystal like inserts. Add this dresser to your bedroom to provide an elegant style that will bring you a perfect sleek design.	Black Finish	Wood, Composite Wood	11	53	98	99	96	364	13	1347	NONE	GP-000589	
Naima Chest	25906	115	34	17	51	36	19	54	128	LTL	CARTON	Naima	2017S	Chest	6 Drw (Jewelry Drawer w/Compartments) Drawer: GLIDE Center Metal (Kenlin, 3/4 Ext.), DT English Front & Back, (Only Jewelry Drawer with Felt-Lined & Full Ext.), Handle: Crystal like Inserts Construction: Wooden Case Good with Veneer (3D Foil), Rbw and Chipboard ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	The Naima chest offers a sophisticated look, clean lines and contemporary style. This black chest features six drawers, with the second drawer being a Felt-Lined jewelry drawer with compartments and front panel with crystal like inserts. Add this chest to your bedroom to provide an elegant style that will bring you a perfect sleek design.	Black Finish	Wood, Composite Wood	9	99	90	119	100	101	17	1011	NONE	GP-000589	
Lyndon Nightstand	26023	37	24	17	27	27	19	27	46	GROUND	ISTA-3A	Lyndon	2016C	Nightstand	2 Drw Drawer: GLIDE Center Metal (Kenlin / No Ext.), DT English, Felt-Lined Not Included Shaker Style Sloped Leg Construction; Front Frame: used MDF with 3D Paper Veneer Back Frame: Tropical Wood & Ply Back Panel: 2.5mm MDF Board with Paper Veneer Side Panel/Drawer Front: 9mm MDF Board w/Paper Veneer Drawer Box: 9mm MDF with Paper Veneer Bottom Panel: 2.5mm MDF Board w/Paper Veneer All Top Panel Side/Left/Right: PVC Edging	The Lyndon nightstand in weathered gray grain finish creates a welcoming and warm appeal. All drawers have English dovetail with center metal glides. The horizontal line design brings a relaxing and interesting environment. The nightstand has abundant storage space to keep your bedroom essentials close at hand.  	Weathered Gray Grain Finish	Wood, Veneer (Paper), Composite Wood	22	120	97	132	12	376	52	477	NONE	GP-000596	
Lyndon Mirror	26024	24	41	1	39	45	42	3	29	GROUND - OVERSIZE	ISTA-3A	Lyndon	2016C	Mirror	Mirror (Not Beveled) & Back support Frame: MDF, 3D Paper Back Top & Bottom Support Rails: Tropical Wood Back Panel: 2.5mm MDF Board w/Paper Veneer ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	The Lyndon mirror in weathered gray grain finish with back support. Create a welcoming and warm appeal in your master bedroom with the rustic mirror. The clean lined design brings a relaxing and interesting environment.	Weathered Gray Grain Finish	Wood, Mirror, Veneer (Paper), Composite Wood	58	24	29	47	4	21	13	237	NONE	GP-000596	
Lyndon Dresser	26025	104	59	17	37	62	19	38	121	LTL	ISTA-3A	Lyndon	2016C	Dresser	6 Drw Drawer: GLIDE Center Metal (Kenlin / No Ext.), DT English, Felt-Lined Not Included Shaker Style Sloped Leg Construction; Front Frame: used MDF with 3D Paper Veneer Back Frame: Tropical Wood & Ply Back Panel: 2.5mm MDF Board with Paper Veneer Side Panel/Drawer Front: 9mm MDF Board w/Paper Veneer Drawer Box: 9mm MDF with Paper Veneer Bottom Panel: 2.5mm MDF Board w/Paper Veneer All Top Panel Side/Left/Right: PVC Edging ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	The Lyndon dresser with 6 drawers allows you to create a rustic master room. The dresser has shaker style sloped leg. It has plentiful space to store your folded clothing in dresser. English dovetail drawers construction and center metal glide make you more convenient to open and close the drawers.	Weathered Gray Grain Finish	Wood, Veneer (Paper), Composite Wood	17	87	28	59	5	86	8	1191	NONE	GP-000596	
Lyndon Chest	26026	86	33	17	50	36	19	51	101	LTL	ISTA-3A	Lyndon	2016C	Chest	5 Drw Drawer: GLIDE Center Metal (Kenlin / No Ext.), DT English, Felt-Lined Not Included Shaker Style Sloped Leg Construction; Front Frame: used MDF with 3D Paper Veneer Back Frame: Tropical Wood & Ply Back Panel: 2.5mm MDF Board with Paper Veneer Side Panel/Drawer Front: 9mm MDF Board w/Paper Veneer Drawer Box: 9mm MDF with Paper Veneer Bottom Panel: 2.5mm MDF Board w/Paper Veneer All Top Panel Side/Left/Right: PVC Edging ASTM F2057 - 17 & ASTM F3096 - 14 Compliant (YES)	The Lyndon chest has abundant storage space to keep your bedroom essentials, clothing and bedding. Weathered gray grain finish with 5 drawers. English dovetail drawers construction and center metal glide make the opening and closing. The horizontal line design brings a relaxing and interesting environment.	Weathered Gray Grain Finish	Wood, Veneer (Paper), Composite Wood	18	19	24	27	9	0	6	969	NONE	GP-000596	
Chelmsford Nightstand	26053	60	30	18	30	33	21	34	73	GROUND - OVERSIZE	CARTON	Chelmsford	2017C	Nightstand	3 Drw Assembled Drawer: GLIDE Side Metal (Full Ext., 45mm), DOVETAIL French Front & English Back, Felt-Lined Top Drawer, Manual Close Wooden Cabriole Leg	<span>	Antique Taupe Finish	Wood, Veneer (Wood)	3	10	0	27	10	489	2	906	NONE	GP-000517	
Chelmsford Mirror	26054	37	46	2	39	49	43	4	49	GROUND - OVERSIZE	CARTON	Chelmsford	2017C	Mirror	Mirror with Beveled Edge	<span>	Antique Taupe Finish	Wood, Mirror, Veneer (Wood)	1	4	3	3	1	55	2	552	NONE	GP-000517	
Chelmsford Dresser	26055	152	64	19	40	67	22	44	176	LTL	CARTON	Chelmsford	2017C	Dresser	8 Drw Assembled Drawer: GLIDE Side Metal (Full Ext., 45mm), DOVETAIL French Front & English Back, Felt-Lined Top Drawer, Manual Close Wooden Cabriole Leg	<span>	Antique Taupe Finish	Wood, Veneer (Wood)	1	3	4	2	5	152	1	2322	NONE	GP-000517	
Chelmsford Chest	26056	130	38	19	54	41	22	58	152	LTL	CARTON	Chelmsford	2017C	Chest	5 Drw Assembled Drawer: GLIDE Side Metal (Full Ext., 45mm), DOVETAIL French Front & English Back, Felt-Lined Top Drawer, Manual Close Wooden Cabriole Leg	<span>	Antique Taupe Finish	Wood, Veneer (Wood)	3	3	1	4	2	24	1	1932	NONE	GP-000517	
Inverness Nightstand	26093	55	24	19	28	27	22	24	67	GROUND	ISTA-3A	Inverness	2017C	Nightstand	3 Drw Drawer: GLIDE Side Metal (Full Ext/Ball Bearing), DT English Front & Back, Felt-Lined Top Drawer, Hdw: Handle Metal Wooden Turned/Tapered Leg: 7"H (166mm)	<span>	Reclaimed Oak Finish	Wood, Composite Wood	0	3	1	0	0	239	0	642	NONE		
Inverness Mirror	26094	26	42	2	35	45	39	4	33	GROUND - OVERSIZE	CARTON	Inverness	2017C	Mirror	Mirror with Beveled Edge, 2.5mm	<span>	Reclaimed Oak Finish	Wood, Mirror, Composite Wood	3	3	2	4	2	0	1	285	NONE		
Inverness Chest	26096	110	36	20	50	39	23	46	130	LTL	ISTA-3A	Inverness	2017C	Chest	5 Drw Drawer: GLIDE Side Metal (Full Ext/Ball Bearing), DT English Front & Back, Felt-Lined Top Drawer, Hdw: Handle Metal Wooden Turned/Tapered Leg: 7"H (166mm)	<span>	Reclaimed Oak Finish	Wood, Composite Wood	1	2	0	1	4	0	0	1272	NONE		
Inverness Dresser	26097	213	72	20	49	75	23	46	243	LTL	ISTA-3A	Inverness	2017C	Dresser	12 Drw Drawer: GLIDE Side Metal (Full Ext/Ball Bearing), DT English Front & Back, Felt-Lined Top Drawer, Hdw: Handle Metal Wooden Turned/Tapered Leg: 7"H (166mm)	<span>	Reclaimed Oak Finish	Wood, Composite Wood	0	0	0	0	0	0	0	2355	NONE		
Inverness Chest	26099	108	29	21	52	32	24	48	128	LTL	ISTA-3A	Inverness	2017C	Chest	6 Drw Drawer: GLIDE Side Metal (Full Ext/Ball Bearing), DT English Front & Back, Felt-Lined Top Drawer, Hdw: Handle Metal Wooden Turned/Tapered Leg: 7"H (166mm)	<span>	Reclaimed Oak Finish	Wood, Composite Wood	0	0	0	3	3	0	0	1188	NONE		
Athena Nightstand	30009	40	26	16	28	29	20	28	50	GROUND	ISTA-3A	Athena	2012C	Nightstand	Rectangular Nightstand Storage: 2 Drawers Wooden Frame (Case-Leg) Wooden Pumpkin-Bun Leg Drawer Construction: GLIDE) Undermount Center Metal, DOVETAIL) French Front & English Back, INSIDE) Felt-Lined Top Drawer Hardware: Crystal Like Knob (TOP Single Knob, BASE Double Knobs)	The Athena nightstand, include white finish throughout and wood paneling. Little details like turned feet, decorative round glass knobs, and traditional moldings add sophistication to the entire design. The Athena Collection provides you with spacious drawers for tucking away clothing, toys and more. Each drawer is accentuated with decorative glass knob hardware for the perfect touch of shine. Crafted from solid wood and veneers, this beautiful girl's bedroom set is perfect for your little girl.	White	Wood, Composite Wood	0	0	0	1	0	0	0	537	NONE		
Priya II Nightstand	30538	11	22	16	22	26	19	4	14	GROUND	CARTON	Priya II	2016S	Nightstand	KD, (no Drw) Top: MDF w/White High Gloss Finish Base: 2 Metal Panels w/Butterfly Design, Metal Tube: Purple Powder Coating (12 x 1.2)	The Priya Canopy bed will create a wonderland in your princess's room. Features: metal butterfly design in a warm purple and white finish. A crown on top of the frame adds the charm and beauty into this enchanting bed.	White & Light Purple Finish	Metal, High Gloss, Composite Wood	1	0	0	4	5	22	27	177	NONE		
Priya II Vanity Desk	30539	49	32	16	30	36	23	11	57	GROUND	CARTON	Priya II	2016S	Vanity Desk	KD, Vanity Table, Mirror & Stool Vanity Table w/1 Drw: Top MDF w/White High Gloss Finish Drw: Ext. 3/4 (No handle: Cut-Out Drw Pull) Vanity Base: 2 Metal Panels w/Butterfly Design Metal Tube: Purple Powder Coating (12 x 1.2, 30 x 30mm) Oval Mirror: Not Beveled, Scrolled Metal Trim, Purple Powder Coating Stool: Padded Seat Cushion: White PU, Base: Scrolled Metal Trim, Purple Powder Coating (No Arms/Backrest)	The Priya Canopy bed will create a wonderland in your princess's room. Features: metal butterfly design in a warm purple and white finish. A crown on top of the frame adds the charm and beauty into this enchanting bed.	White & Light Purple Finish	Metal, High Gloss, Mirror, Upholstered (Seat), Composite Wood	2	0	0	2	3	14	4	624	NONE	GP-000680	
Priya II Wardrobe	30540	123	32	21	67	69	34	7	135	GROUND - OVERSIZE	CARTON	Priya II	2016S	Wardrobe	KD, Armoire w/2 Doors (One with Hanging Rod & Top Shelf One with 5 Compartments) Door Trim: Metal Butterfly & Scrolled Designs, Purple Finish Frame: White Finish with Purple Dandelions Decorations Metal Leg White & Purple Metal Powder Coating (20 x 20 x 1.2)	The Priya Canopy bed will create a wonderland in your princess's room. Features: metal butterfly design in a warm purple and white finish. A crown on top of the frame adds the charm and beauty into this enchanting bed.	White & Light Purple Finish	Metal	2	0	0	3	1	45	3	1308	NONE	GP-000680	
Priya II Bench	30542	12	32	17	19	34	18	5	19	GROUND	CARTON	Priya II	2016S	Bench	KD, Armless Bench (no storage/Backless) Tufted/Padded Seat Cushion: White PU (MDF + FR Sponge) Base: 2 Metal Panels: Butterfly Design, Crossbar Support. Metal Tube: Purple Powder Coating (12 x 1.2)	The Priya Canopy bed will create a wonderland in your princess's room. Features: metal butterfly design in a warm purple and white finish. A crown on top of the frame adds the charm and beauty into this enchanting bed.	White & Light Purple Finish	Metal, High Gloss, Upholstered (Seat), Composite Wood	2	1	0	0	1	24	0	210	NONE	GP-000680	
Jason Twin/Full Bunk Bed	37105	280	98	56	65	0	0	0	307	GROUND - OVERSIZE	ISTA-3A	Jason	2017S	Twin/Full Bunk Bed	KD T/F Bunk, Storage Ladder & Trundle Slat System Included (14+14) RF Storage Ladder w/4 Drw NOT Convertible (Can't Separate into 2 Beds) Full Length Guard-Rail (Top Bed) Drw: Drawer: GLIDE Center Wood, DT French (Front & Back) Trundle Max. Mattress Height: 6"	This Jason bunk bed is a twin over full bunk bed with plenty of built in storage with drawers incorporated into the stairs to upper twin bed. An additional trundle pull out bed under the lower full bed creates more space for extra use. A full guard rail will always keep your lovely kids safe.	White Finish	Wood, Composite Wood	14	7	2	36	22	67	1	2280	NONE	GP-001179	
Tobi Desk	37562	49	36	19	50	0	0	0	57	LTL		Tobi	2015C	Desk	Writing Desk	The Tobi collection was designed to re-create the train style bed. Crafted in sturdy metal with glossy finish, includes an overhead roof, detailed matching wheels that will make it believe that this magical train will ride to the dreamland. This collection is the perfect choice for your children's play and sleep time.	Blue/Red & Black Train	Metal, Veneer, Composite Wood	0	0	0	1	0	0	0	207	NONE		
Britt Table Lamp	40120	5	12	8	25	22	10	14	9	GROUND	ISTA-3A	Britt	2018C	Table Lamp	Table Lamp Acrylic Base: Media Holder (Max. Size: Tablet 12.9 Inches, Cell-Phone 5.5 Inches) Metal Base: USB Charging Dock & LED Light Bulb Light Bulb Required Type: E26, 9W x 1Pc Switch Type: On/Off with Rotary Socket at Bulb Socket Shade: Rectangular Shape, White Fabric Base: Sandy Nickel Finish, Material: Metal with Power & USB Dock, Acrylic Media Holder: Clear Finish	This versatile and modern Britt table lamp is the perfect addition to any room. This lamp features tablet and smart phone organization compartments, as well as USB Charging Dock. It also comes in a good size to fit on a desk or side table.	Sandy Nickel Finish	Metal, Acrylic	0	0	0	0	0	0	2	336	NONE		
Britt Table Lamp	40121	6	15	15	27	25	25	12	13	GROUND	ISTA-3A	Britt	2018C	Table Lamp	Table Lamp LED Light Bulb Light Bulb Required Type: E26, 9W x 1Pc Switch Type: 4-WAY Rotary Switch at bulb socket (1. Main light, 2. Nigh Light, 3. Main Light and Night Light, 4.Off) Drum Shade: Light Brown Fabric Base Material: Chrome Finish, Metal	Gleaming and modish, this Britt table lamp will add a hint of luxury to any space. It is crafted in chrome and light brown fabric drum shade. Featuring in metal base, crystal bead, LED light bulb and 4-way rotary switch, your room will be glamour than ever.	Chrome Finish	Metal, Acrylic	0	0	0	2	0	8	0	351	NONE		
Britt Table Lamp	40122	9	16	16	29	28	23	12	16	GROUND	ISTA-3A	Britt	2018C	Table Lamp	Table Lamp LED Light Bulb Light Bulb Required Type: E26, 9W x 1Pc Switch Type: Rocker Switch on power cable Barrel Shade: Light Brown Fabric Base Material: Mirrored Base, Diamond Shape.	Create a luxurious space with this stunning faceted diamond crystal table lamp. This Britt table lamp is topped with a light brown fabric barrel shade and mirrored base. Featuring in LED light bulb and rocker switch on power cable, the clear finish exposes the hardware inside for a subtle modern touch.	Mirrored & Chrome	Metal, Mirror	0	1	0	0	1	0	1	375	NONE		
Cici Floor Lamp	40125	17	15	15	58	22	19	28	29	GROUND	ISTA-3A	Cici	2018C	Floor Lamp	Floor Lamp with Glass Table: 15"Dia x 8mm Clear Tempered Glass, Not Beveled (380mm) LED Light Bulb / Acrylic Cylinder with Motion Glitter Light Bulb Required Type: E26, 9W x 1Pc Switch Type: 4-WAY Rotary Switch at bulb socket (1. Main light, 2. Nigh Light, 3. Main Light and Night Light, 4.Off) Drum Shade: Light Brown Fabric Base Material: Chrome Finish Metal, Acrylic Base with SMD LED Module - 2 sets Clear Acrylic Cylinder includes glitter that swirls reflecting vibrant light.	Remarkably shimmering, this Cici sophisticated floor lamp will embellish your room to a whole new level. Designed with stylish and superiority in mind, the base is made from high quality acrylic and metal with SMD LED Module. The lamp holds LED light bulb and has 4-way rotary switch to increase its flexibility and functionality. With the luxurious chrome finish and light brown fabric drum shade, this lamp will blend perfectly in any Decor.	Chrome Finish	Metal, Acrylic Glitter	0	1	0	0	0	0	0	585	NONE		
Gwen Table Lamp	40128	7	8	8	15	13	11	16	9	GROUND	ISTA-3A	Gwen	2018C	Table Lamp	Table Lamp LED Light Bulb Light Bulb Required Type: E26, 9W x 1Pc Switch Type: Rocker Switch on power cable Globe Shade: Glass with Firework Pattern Light Design Base Material: Sandy Nickel Metal	Brighten up your room and highlight your distinctive personality, this Gwen table lamp collection will make a big impact to your space. It is crafted in metal base and sandy nickel finish. Featuring in globe shade with glass firework pattern light design, LED light bulb, and rocker switch on power cable, this table lamp will bring an impressive sensation for your room.	Sandy Nickel	Metal, Glass	0	0	0	0	1	0	0	249	NONE		
Cici Table Lamp	40130	9	15	15	28	27	22	12	15	GROUND	ISTA-3A	Cici	2018C	Table Lamp	Table Lamp LED Light Bulb / Glass Cylinder with Motion Glitter Light Bulb Required Type: E26, 9W x 1Pc Switch Type: 4-WAY Rotary Switch at bulb socket (1. Main light, 2. Nigh Light, 3. Main Light and Night Light, 4.Off) Drum Shade: Light Brown Fabric Base Material: Chrome Finish Metal with Single Acrylic Cylinder with G9 LED Bulbs, 1Pc Clear Glass Cylinder includes glitter suspended in liquid that swirls reflecting vibrant light.	Gleaming and modish, this Cici table lamp will add a hint of luxury to any space. It is crafted in chrome and has light brown fabric drum shade. Featuring metal base with single acrylic cylinder with G9 LED and 4-way rotary switch, the exceptional design will highlight your distinctive personality and bring an impressive sensation for your room.	Chrome	Metal, Glass Glitter	1	0	0	0	0	0	0	390	NONE		
Cici Table Lamp	40133	5	16	16	30	18	18	17	11	GROUND	ISTA-3A	Cici	2018C	Table Lamp	Table Lamp LED Light Bulb / Acrylic Cylinder with Motion Glitter Light Bulb Required Type: E26, 9W x 1Pc Switch Type: 4-WAY Rotary Switch at bulb socket (1. Main light, 2. Nigh Light, 3. Main Light and Night Light, 4.Off) Barrel Shade: Light Brown Fabric Base Material: Chrome Finish Metal, Acrylic Base with SMD LED Module - 3 sets Clear Acrylic Cylinder includes glitter that swirls reflecting vibrant light.	Remarkably shimmering, this Cici sophisticated table lamp will embellish your room to a whole new level. Designed with stylish and superiority in mind, the base is made from high quality acrylic and metal with SMD LED Module. The lamp holds LED light bulb and has 4-way rotary switch to increase its flexibility and functionality. With the luxurious chrome finish and light brown fabric barrel shade, this lamp will blend perfectly in any Decor.	Chrome	Metal, Acrylic Glitter	1	0	0	0	0	0	1	375	NONE		
Platinum II Sofa	52730	150	72	32	33	0	0	0	169	GROUND - OVERSIZE	ISTA-3A	Platinum II	2017C	Sofa	KD, Sofa & Love Buttonless Tufted: Back & Seat Cushion Loose Back & Seat Cushion (2+2), Comfort: Semi-Soft Seat Construction: Wood Frame, Pocket Coil Included, Box Seat Cushion, Sofa Cushion Size: 28.5"L, Love Cushion Size: 22"L Arm: Wide Track Plastic Tapered Leg: Black Finish (NO Pillows)	Create a unique look to your home with the Platinum II collection. This sofa combines clean, classic lines with retro details, like tufted back and seat cushion and wood-like tapered legs. The sleek, boxy cushions and slim track arms allow you to slouch back in comfort. Also available Red PU, beige and gray linen, this stylish look is perfectly for any room environment.	Chocolate Linen	Upholstery	0	2	0	0	2	0	2	897	NONE	GP-000922	
Colten Chair	52867	77	39	39	39	45	39	33	86	LTL	CARTON	Colten	2018C	Chair	Assembled (KD Leg), w/1 Pillow Crystal like Button Tufted (Backrest) Tight Back & Loose Seat Cushion (1+1) Streamlined Box Seat: Down Feather & Foam Fill, Pocket Coil Included & Welt, Removable Cover Sloped Armrest: Nailhead Trim Wooden Turned Leg: Espresso Finish Material: Fabric Solid Pattern (Pillows with Contrast Finish & Pattern)	The Colten sofa, loveseat and chair set is sure to add a welcoming touch to your home with its light and soft fabric, generously deep seats, and stylish slope arms. It also features crystal like button tufted backrest and wooden turned legs making this collection looks more beautiful and elegant. This will be the most ideal one for your room.	Gray Fabric	Upholstery	0	0	0	0	2	0	1	1368	NONE		
