sku	locations.la_qty	locations.sf_qty	locations.fl_qty	locations.ga_qty	locations.tx_qty	locations.nj_qty	locations.ny_qty	locations.la_warehouse_eta
92559	0	0	0	0	1	0	0	NONE
97210	0	0	0	0	0	0	0	NONE
97211	0	0	0	0	0	0	3	NONE
27974	130	2	11	43	29	15	44	NONE
70262	0	1	0	0	1	0	1	NONE
70267	0	1	0	0	0	0	0	NONE
98002	444	1	0	2	0	0	16	NONE
80947	1	1	0	0	0	0	1	NONE
81244	31	1	1	3	2	0	1	NONE
82126	0	2	0	0	0	0	0	NONE
26244	47	19	15	10	2	12	0	NONE
26264	156	3	17	10	2	8	0	NONE
26703	224	3	4	2	4	4	0	NONE
26733	406	103	46	85	125	246	215	NONE
26793	354	81	41	146	158	162	248	NONE
30833	4	0	1	0	0	0	0	NONE
60017	1	2	0	0	0	0	0	NONE
70168	219	8	2	1	3	3	0	NONE
80295	0	0	0	0	0	0	0	NONE
80506	92	0	1	2	2	0	1	NONE
80587	0	1	0	0	0	0	0	NONE
80921	0	0	2	0	1	0	0	NONE
82952	27	0	1	1	3	1	0	NONE
97612	9	1	5	0	2	1	4	NONE
97613	3	2	0	0	0	0	1	NONE
27644	0	1	0	0	1	0	0	NONE
30654	0	0	0	0	0	0	2	NONE
71521	0	0	0	0	0	0	0	NONE
71522	0	1	0	0	0	0	0	NONE
71718	19	0	2	1	0	0	1	NONE
71907	0	1	0	0	0	0	0	NONE
71908	0	2	0	0	1	0	0	NONE
72852	526	4	43	18	31	51	2	NONE
72212	189	4	5	8	0	0	1	2023-01-22
80192	1	0	0	0	4	0	2	NONE
29125	4	0	1	0	0	0	0	NONE
62086	14	0	2	0	0	0	0	NONE
70254	0	2	0	0	0	0	0	NONE
71937	0	0	0	0	0	0	2	NONE
72012A	4	0	0	0	8	0	0	NONE
73002	0	1	1	0	0	0	0	NONE
53593	0	0	3	0	0	0	0	NONE
59493	0	1	0	0	0	0	1	NONE
80990	0	0	1	0	0	0	0	NONE
82746	55	4	1	3	4	0	3	2023-02-08
83082	25	4	1	0	4	0	1	NONE
2808	0	13	4	18	1	0	0	NONE
02808KHAKI	0	0	0	0	0	0	0	NONE
2812	0	5	0	0	10	0	0	NONE
22034	12	4	3	2	1	11	5	NONE
26848	10	1	0	0	2	0	0	NONE
29400	0	0	0	0	1	0	0	NONE
25974	62	46	15	43	20	53	71	NONE
30598	0	0	0	0	0	0	0	2023-02-01
60822	738	4	18	15	6	26	0	NONE
66082	0	0	0	0	0	0	1	NONE
70302	0	1	0	0	0	0	0	NONE
70333	193	10	9	7	0	4	4	2023-02-03
70422	9	0	0	0	2	1	2	NONE
70423	18	4	2	0	1	3	1	NONE
71182	434	7	7	7	4	2	24	NONE
71882	459	7	6	3	10	4	12	NONE
72822	161	9	6	6	5	0	2	NONE
74625	138	2	2	3	2	0	2	NONE
74642	439	2	5	5	3	0	1	NONE
74647	476	9	6	8	13	6	2	NONE
96811	0	0	0	0	0	0	0	NONE
66192	169	4	0	5	0	4	4	NONE
72222	222	0	5	1	1	0	0	NONE
72292	536	2	3	4	4	3	0	NONE
72297	0	0	1	0	0	0	0	NONE
52378	51	1	0	2	3	1	0	NONE
80862_KIT	0	1	0	1	3	0	5	NONE
83092	7	0	0	0	0	0	0	NONE
83934	32	1	0	0	2	0	0	NONE
92028	15	1	0	0	1	0	0	NONE
92126	81	0	1	0	0	3	1	NONE
23798	0	0	0	0	1	0	0	NONE
30244	69	1	0	1	2	0	1	NONE
66187	235	4	3	5	3	1	1	NONE
70003	363	10	3	2	2	0	0	NONE
70132	0	1	0	0	2	0	0	NONE
70337	3	0	0	2	0	0	0	NONE
74722	1	0	0	0	0	0	1	NONE
59535	0	1	1	1	2	0	0	NONE
59536	1	0	0	1	2	1	2	NONE
80942	0	0	0	0	0	0	3	NONE
92327	0	0	0	0	1	0	0	NONE
26774	155	14	87	57	54	70	30	NONE
97167	69	2	0	0	2	0	2	NONE
97168	138	2	2	0	3	0	0	NONE
97169	181	1	0	0	2	0	0	NONE
97170	191	1	0	0	2	0	0	NONE
30366	0	0	2	0	0	0	4	NONE
30369	0	0	0	0	1	0	0	NONE
66182	182	4	2	1	2	0	0	NONE
71152	0	0	0	0	1	0	0	NONE
72347	1	0	1	0	0	0	3	NONE
72857	151	0	6	5	10	8	4	2023-01-25
74624	475	3	7	3	3	7	0	NONE
74657	122	1	7	4	13	0	8	NONE
96060	0	0	1	0	0	0	0	NONE
96061	0	0	0	0	0	0	1	NONE
77152	86	0	0	3	0	0	0	NONE
59437	0	1	0	0	0	0	0	NONE
59438	14	2	0	1	0	0	3	NONE
59439	0	0	0	22	0	0	1	NONE
59501	18	0	0	0	0	0	2	NONE
59503	47	3	0	0	3	0	1	NONE
81197	289	2	3	7	2	4	0	NONE
81905	0	1	0	0	0	0	0	NONE
83812	0	0	0	0	0	0	0	NONE
84502	1	0	2	2	0	0	0	2023-02-08
84507	64	2	0	0	1	0	1	NONE
97308	82	2	1	5	8	10	16	NONE
83929	25	0	0	0	3	0	0	NONE
84885	8	1	1	0	1	0	1	NONE
92107	5	0	0	0	0	0	0	NONE
92108	0	0	1	0	0	0	0	2023-01-19
92109	20	1	0	1	0	0	0	NONE
92110	13	0	1	1	2	0	4	2023-01-19
92558	3	0	0	1	0	0	0	NONE
22634	170	7	125	1	1	32	50	NONE
27464	141	4	13	17	2	46	19	NONE
97268	0	0	0	0	0	0	2	NONE
37472	0	0	0	2	1	0	0	NONE
60257	154	8	3	3	6	1	1	NONE
71107	35	3	258	6	0	113	18	2023-01-19
71112	120	5	55	6	12	69	11	NONE
72007	1	0	0	0	0	0	1	NONE
73162	126	5	0	4	0	0	2	NONE
74633	379	2	4	0	0	2	0	NONE
74674	1	1	0	0	1	0	0	NONE
96058	0	3	0	0	0	0	0	NONE
60172	125	2	3	2	0	0	1	NONE
