Code	Name	Description 2	Price	MAP price	Default set qts	Width	Depth	Height	Weight	Volume	Manufacturer	Category Type	Stock Status	New Arrivals	Parent Category	Category	Refine Categories	Image 1	Image 2	Image 3	Image 4	Image 5	Image 6	Image 7	Image 8	Image 9	Image 10	Image 11	Image 12	Image 13	Image 14	Qty	No of Boxes	(Box 1) Markings	(Box 1) Depth	(Box 1) Width	(Box 1) Height	(Box 1) Weight	(Box 2) Markings	(Box 2) Depth	(Box 2) Width	(Box 2) Height	(Box 2) Weight	(Box 3) Markings	(Box 3) Depth	(Box 3) Width	(Box 3) Height	(Box 3) Weight	(Box 4) Markings	(Box 4) Depth	(Box 4) Width	(Box 4) Height	(Box 4) Weight	(Box 5) Markings	(Box 5) Depth	(Box 5) Width	(Box 5) Height	(Box 5) Weight	(Box 6) Markings	(Box 6) Depth	(Box 6) Width	(Box 6) Height	(Box 6) Weight	(Box 7) Markings	(Box 7) Depth	(Box 7) Width	(Box 7) Height	(Box 7) Weight	(Box 8) Markings	(Box 8) Depth	(Box 8) Width	(Box 8) Height	(Box 8) Weight	(Box 9) Markings	(Box 9) Depth	(Box 9) Width	(Box 9) Height	(Box 9) Weight	(Box 10) Markings	(Box 10) Depth	(Box 10) Width	(Box 10) Height	(Box 10) Weight	(Box 11) Markings	(Box 11) Depth	(Box 11) Width	(Box 11) Height	(Box 11) Weight	(Box 12) Markings	(Box 12) Depth	(Box 12) Width	(Box 12) Height	(Box 12) Weight	(Box 13) Markings	(Box 13) Depth	(Box 13) Width	(Box 13) Height	(Box 13) Weight	(Box 14) Markings	(Box 14) Depth	(Box 14) Width	(Box 14) Height	(Box 14) Weight	(Box 15) Markings	(Box 15) Depth	(Box 15) Width	(Box 15) Height	(Box 15) Weight	sku	Parent  Sku	Color	Material	Finish
VELVETDRESSER	Velvet Single Dresser		770	1347.5	0	47.24	15.75	40.94	178																							0	1	1	19	43	49	0																																																																							i22190	p9853			
VELVETMIRROR	Velvet Mirror For Single Dress		198	346.5	0	39.37	1.97	39.37	11																							0	1	1	43	41	7	0																																																																							i22191	p9853			
VELVETBEDQS	Velvet Bed QS	need wooden slat frame	1341	2346.75	1	88.58	90.55	55.12	308																							1	5	1	90	15	61	0	2	69	18	8	0	3	88	18	8	0	4	8	4	5	0	5	4	17	57	0																																																			i22188	p9853			
VELVETNS	Velvet Night Stand		419	733.25	2	21.65	15.75	25.2	71																							2	1	1	23	18	27	0																																																																							i22189	p9853			
	Velvet 2 Door Wardrobe	*Special Order	1742	3048.5	0																											0	0																																																																												i27301	p9853			
	2061 Table and 6138 Chairs SET	Chairs upholstered in eco-leather. Table: top glass +  stainless steal base. This modern and stylish, yet simple Dining Room sets the mood of the incredible atmosphere of sophisticated fashionable style.   Table Top : 12mm tempered glass  6138 chairs Solid White Eco leather ( no pattern)  Seat height: 17"	910	1592.5							ESF Extravaganza Collection	DINING	stock	FALSE	Dining Room Furniture	Kitchen Tables and Chairs	Dining Room,Casual Dining Room,Modern	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs_side_7.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs_side_8.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Dining-Room-Furniture_Modern-Casual-Dining-Sets_2061-Table-and-6138-Chairs_side_1.jpg																																																																																			p8512		White, Grey/Silver	Eco Leather, Glass, Stainless Steel	Shiny
6138CHAIR	6138 Modern Dining Room Chair	(2 in a box)  <b>“Solid white Eco-leather (no pattern)” </b>	80	140	4	24	19	36	15																							4	1	BOX 1	25	30	50	30																																																																							i17849	p8512			
2061DININGTABLE	2061 Modern Dining Table with fixed Top		590	1032.5	1	79	40	30	110																							1	2	Table Top	42	82	3	80	Table Legs	50	40	20	30																																																																		i17850	p8512			
	Storm Bedroom, Camelgroup Italy SET	Definite lines and high tech shapes place bedroom STORM within a young and dynamic reality. Accessories, lamps and flashes of white light wrapping the settings, enhance the quality and creativity of a product.  Stock Finish: Matt Finish: Synchro - melamine material, open pore.	1158	2026.5							Camelgroup Italy	BEDROOMS	stock	FALSE	Bedroom  Furniture	Modern Bedrooms	Bedroom,Bedgroups,Modern,Queen Size/King Size	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom-Camelgroup-Italy.gif	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_1.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_12.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_2.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_3.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_4.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_5.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_6.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_9.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_10.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_14.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_15.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_17.jpg	http://www.esfwholesalefurniture.com/images/product/fullsize/Bedroom-Furniture_Modern-Bedrooms_Storm-Bedroom_side_18.jpg																																																																														p8814		Brown/Wenge/Walnut	MDF	Mat
STORMCHEST	Storm Chest		281	491.75	0	23	17	44																								0	1		44	23	17	0																																																																							i18636	p8814			
STORMNS	Storm Nightstand		141	246.75	2	23	17	18																								2	1		18	23	17	0																																																																							i18171	p8814			
STORMDRESSER	Storm 3 Drawers Single Dresser		315	551.25	1	54	20	31																								1	1		31	54	20	0																																																																							i18172	p8814			
STORMBEDQS	Storm Bed QS	<b>*FRAME NOT INCLUDED**</b>	346	605.5	1	67	84	42	130																							1	5		3	70	30	72		2	42	9	17		3	82	3	25		5	15	6	5		11	62	2	20																																																			i18169	p8814			
STORMBEDKS	Storm Bed KS	<b>*FRAME NOT INCLUDED**</b>	396	693	0	83	84	42	146																							0	5	Headbord	4	81	30	85		2	42	3	25	Rails	3	82	3	34	Hardware	5	15	6	5	Footboard	11	82	2	30																																																			i18170	p8814			
WFRAMEQUEENS	QS Wooden Slats Frame		65	113.75	1	60	79	11	20																							1	1	1	2	30	80	0																																																																							i18175	p8814			
WFRAMEKINGS	KS Wooden Slats Frame		90	157.5	0	76	79	11	30																							0	1	1	2	39	80	0																																																																							i18176	p8814			
STORMMIRROR	Storm Mirror		150	262.5	1	51	1	32																								1	1		32	51	1	0																																																																							i18174	p8814			
WFRAMEQSCAMELBENT	Wooden Frame QS Camel Bent/leg	<b>**PREFERRED**</b> Made in Italy	115	201.25	0	60	79	3	25																							0	1	1	2	61	80	0																																																																							i18177	p8814			
